name,P,C,G,N,I,I3,J,Mass,Nk,Ik,I3k,Jk,Mk,u,ubar,d,dbar,s,sbar,c,cbar,b,bbar,width_mev,split
Dbar0,0,2,2,1.38159883339383,0.5,0.5,0,1.864838281,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1.60422120284466e-09,train
Dbar^*(2007)0,0,2,2,1.48681261201367,0.5,0.5,1,2.006852502,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,2.10000000056831,train
Dbar^*(2640)0,2,2,2,1.95366866970677,0.5,0.5,-222,2.637,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,14.9999999984668,train
Dbar_0(2550)0,0,2,2,1.88847488548183,0.5,0.5,0,2.549003498,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,165.235205378382,train
Dbar_0^*(2300)0,1,2,2,1.73600470148847,0.5,0.5,0,2.34320408,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,229.272526951159,train
Dbar_1(2420)0,1,2,2,1.79444260610421,0.5,0.5,1,2.42208171,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,31.3389199504513,train
Dbar_1(2430)0,1,2,2,1.78699948853443,0.5,0.5,1,2.412035226,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,314.082421714335,train
Dbar_1^*(2600)0,0,2,2,1.94652542731261,0.5,0.5,1,2.627358278,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,140.816807070706,train
Dbar_1^*(2760)0,0,2,2,2.06035364825731,0.5,0.5,1,2.781,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,177.000000075432,train
Dbar_2(2740)0,0,2,2,2.03505343895028,0.5,0.5,2,2.74685058,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,88.4788732343689,train
Dbar_2^*(2460)0,1,2,2,1.82337375493814,0.5,0.5,2,2.461132057,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,47.2973745209188,train
Dbar_3^*(2750)0,0,2,2,2.047073773285,0.5,0.5,3,2.763075246,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,66.0156585734692,train
J/psi(1S),0,0,0,2.29439408296067,0,0,1,3.096900355,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0.0926,train
K(1460)+,0,2,2,1.09826258474529,0.5,0.5,0,1.4824,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,335.600000136572,train
K(1460)-,0,2,2,1.09826258474529,0.5,-0.5,0,1.4824,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,335.600000136572,train
K(1460)0,0,2,2,1.09826258474529,0.5,-0.5,0,1.4824,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,335.600000136572,train
K(1630)+,2,2,2,1.20687381985299,0.5,0.5,-222,1.629,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,15.9999999961635,train
K(1630)-,2,2,2,1.20687381985299,0.5,-0.5,-222,1.629,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,15.9999999961635,train
K(1630)0,2,2,2,1.20687381985299,0.5,-0.5,-222,1.629,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,15.9999999961635,train
K(1830)+,0,2,2,1.38838645697023,0.5,0.5,0,1.874,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,167.999999932253,train
K(1830)-,0,2,2,1.38838645697023,0.5,-0.5,0,1.874,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,167.999999932253,train
K(1830)0,0,2,2,1.38838645697023,0.5,-0.5,0,1.874,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,167.999999932253,train
K(3100)+,2,2,2,2.26261058675938,0.5,0.5,-222,3.054,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,41.9999999880985,train
K(3100)-,2,2,2,2.26261058675938,0.5,-0.5,-222,3.054,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,41.9999999880985,train
K(3100)0,2,2,2,2.26261058675938,0.5,-0.5,-222,3.054,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,41.9999999880985,train
K(L)0,0,1,2,0.368663847990264,0.5,-222,0,0.497610768,1,1,0,1,1,0,0,0.707,0.707,0.707,0.707,0,0,0,0,1.28657536431855e-14,train
K(S)0,0,0,2,0.368663847990264,0.5,-222,0,0.497610768,1,1,0,1,1,0,0,0.707,0.707,0.707,0.707,0,0,0,0,7.35103813368044e-12,train
K+,0,2,2,0.36574914843902,0.5,0.5,0,0.493676599,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,5.31673632265451e-14,train
K-,0,2,2,0.36574914843902,0.5,-0.5,0,0.493676599,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,5.31673632265451e-14,train
K^*(1410)+,0,2,2,1.04738934374721,0.5,0.5,1,1.413732913,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,231.807439762259,train
K^*(1410)0,0,2,2,1.04738934374721,0.5,-0.5,1,1.413732913,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,231.807439762259,train
K^*(1680)+,0,2,2,1.27249777421055,0.5,0.5,1,1.717577132,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,322.422001122753,train
K^*(1680)-,0,2,2,1.27249777421055,0.5,-0.5,1,1.717577132,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,322.422001122753,train
K^*(1680)0,0,2,2,1.27249777421055,0.5,-0.5,1,1.717577132,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,322.422001122753,train
K^*(892)+,0,2,2,0.660612542324672,0.5,0.5,1,0.891673855,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,51.4109405510879,train
K^*(892)-,0,2,2,0.660612542324672,0.5,-0.5,1,0.891673855,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,51.4109405510879,train
K^*(892)0,0,2,2,0.660612542324672,0.5,-0.5,1,0.891673855,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,51.4109405510879,train
K_0^*(1430)+,1,2,2,1.05573676690639,0.5,0.5,0,1.425,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,270.000000000439,train
K_0^*(1430)-,1,2,2,1.05573676690639,0.5,-0.5,0,1.425,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,270.000000000439,train
K_0^*(1430)0,1,2,2,1.05573676690639,0.5,-0.5,0,1.425,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,270.000000000439,train
K_0^*(1950)+,1,2,2,1.45004203314068,0.5,0.5,0,1.957220741,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,172.247364613459,train
K_0^*(1950)-,1,2,2,1.45004203314068,0.5,-0.5,0,1.957220741,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,172.247364613459,train
K_0^*(700)+,1,2,2,0.625932174817444,0.5,0.5,0,0.844863395,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,468.187290856898,train
K_0^*(700)-,1,2,2,0.625932174817444,0.5,-0.5,0,0.844863395,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,468.187290856898,train
K_0^*(700)0,1,2,2,0.625932174817444,0.5,-0.5,0,0.844863395,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,468.187290856898,train
K_1(1270)+,1,2,2,0.928376264702264,0.5,0.5,1,1.253092834,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,89.9999999702762,train
K_1(1270)-,1,2,2,0.928376264702264,0.5,-0.5,1,1.253092834,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,89.9999999702762,train
K_1(1270)0,1,2,2,0.928376264702264,0.5,-0.5,1,1.253092834,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,89.9999999702762,train
K_1(1400)+,1,2,2,1.03907967892089,0.5,0.5,1,1.402516791,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,173.881487528794,train
K_1(1400)-,1,2,2,1.03907967892089,0.5,-0.5,1,1.402516791,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,173.881487528794,train
K_1(1400)0,1,2,2,1.03907967892089,0.5,-0.5,1,1.402516791,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,173.881487528794,train
K_1(1650)+,1,2,2,1.22243204589161,0.5,0.5,1,1.65,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,149.999999985562,train
K_1(1650)-,1,2,2,1.22243204589161,0.5,-0.5,1,1.65,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,149.999999985562,train
K_1(1650)0,1,2,2,1.22243204589161,0.5,-0.5,1,1.65,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,149.999999985562,train
K_2(1580)-,0,2,2,1.17057129242954,0.5,-0.5,2,1.58,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,110.000000022834,train
